"","x"
"1","A major role for mammals in the ecology of Mycobacterium ulcerans"
"2","Attenuated vaccines can recombine to form virulent field viruses"
"3","The prevalence and clinical significance of Chlamydia infection in island and mainland populations of Victorian koalas (Phascolarctos cinereus)"
"4","Clinical, microbiological and pathological findings of Mycobacterium ulcerans infection in three Australian Possum species"
"5","Localised Mycobacterium ulcerans infection in four dogs"
"6","Identification of unusual Chlamydia pecorum genotypes in Victorian koalas (Phascolarctos cinereus) and clinical variables associated with infection"
"7","Koala retrovirus genotyping analyses reveal a low prevalence of KoRV-A in Victorian koalas and an association with clinical disease"
"8","Safety and vaccine efficacy of a glycoprotein G deficient strain of infectious laryngotracheitis virus delivered in ovo"
"9","Full genome analysis of Australian infectious bronchitis viruses suggests frequent recombination events between vaccine strains and multiple phylogenetically distant avian …"
"10","Growth kinetics and transmission potential of existing and emerging field strains of infectious laryngotracheitis virus"
"11","Chlamydia pecorum Infection in Free-ranging Koalas (Phascolarctos cinereus) on French Island, Victoria, Australia"
"12","Infectious laryngotracheitis virus viral chemokine-binding protein glycoprotein G alters transcription of key inflammatory mediators in vitro and in vivo"
"13","Analysis of the complete genomic sequences of two virus subpopulations of the Australian infectious bronchitis virus vaccine VicS"
"14","Virus survey in populations of two subspecies of bent-winged bats (Miniopterus orianae bassanii and oceanensis) in south-eastern Australia reveals a high prevalence of diverse …"
"15","Variation in the microbiome of the urogenital tract of Chlamydia-free female koalas (Phascolarctos cinereus) with and without ‘wet bottom’"
"16","Development and validation of TaqMan real-time polymerase chain reaction assays for the quantitative and differential detection of wild-type infectious Laryngotracheitis …"
"17","Protection induced in broiler chickens following drinking-water delivery of live infectious laryngotracheitis vaccines against subsequent challenge with recombinant field virus"
"18","Cross-protective immune responses between genotypically distinct lineages of infectious laryngotracheitis viruses"
"19","Disease surveillance in wild Victorian cacatuids reveals co-infection with multiple agents and detection of novel avian viruses"
"20","Polychromophilus melanipherus and haemoplasma infections not associated with clinical signs in southern bent-winged bats (Miniopterus orianae bassanii) and eastern bent-winged …"
"21","Detection and Differentiation of Two Koala Gammaherpesviruses by Use of High-Resolution Melt (HRM) Analysis Reveals Differences in Viral Prevalence and Clinical Associations in …"
"22","A novel Glaesserella sp. isolated from pigs with severe respiratory infections has a mosaic genome with virulence factors putatively acquired by horizontal transfer"
"23","Infectious Disease Surveillance in the Woylie (Bettongia penicillata)"
"24","Surveillance for Chlamydia spp. with multilocus sequence typing analysis in wild and captive birds in Victoria, Australia"
"25","Bovine digital dermatitis in Victoria, Australia"
"26","An investigation of two significant infectious diseases in populations of Victorian koalas (Phascolarctos cinereus)"
